Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
MED74E1,"Part 4, Section E: Annual Hurdle for Completion of Student Selected Components",43,School of Medicine,2010/11,YEAR
CAT103,"Introductory Catalan, Part I",0,School of Languages Linguistics and Film,2010/11,SEM1
SBC001,Nutrition and Whole-Body Metabolism,30,School of Biological and Chemical Sciences,2010/11,SEM2
SBC105,"Cognition, Evolution and Behaviour",84,School of Biological and Chemical Sciences,2010/11,SEM2
SBC112,Personal and Professional Development for Forensic Practitioners,13,School of Biological and Chemical Sciences,2010/11,YEAR
SBS316,Estuaries and Coastal Seas,0,School of Biological and Chemical Sciences,2010/11,SEM2
SBC120,"Numeracy, Maths and IT for Crime Scene Practitioners",13,School of Biological and Chemical Sciences,2010/11,YEAR
SBC141,Brain and Behaviour,45,School of Biological and Chemical Sciences,2010/11,SEM1
DIN4002,Health Promotion and Disease Prevention,12,Dental School / Institute of Dentistry,2010/11,YEAR
GER401,German I N,6,School of Languages Linguistics and Film,2010/11,YEAR
GER603,Foreign Influences and Linguistic Purism in the History of German,14,School of Languages Linguistics and Film,2010/11,SEM2
GER628,Medieval German Language and Literature,0,School of Languages Linguistics and Film,2010/11,SEM2
HSP203,The Mexican Revolution and its Aftermath,20,School of Languages Linguistics and Film,2010/11,SEM2
HSP292,Semester Abroad - Hispanic Studies Non-Erasmus Study Placement,0,School of Languages Linguistics and Film,2010/11,SEM1
HSP293,Semester Abroad - Hispanic Studies Erasmus Work Placement,1,School of Languages Linguistics and Film,2010/11,SEM1
HSP294,Semester Abroad - Hispanic Studies Erasmus Study Placement,0,School of Languages Linguistics and Film,2010/11,SEM1
HSP295,Semester Abroad - Hispanic Studies Non-Erasmus Work Placement,0,School of Languages Linguistics and Film,2010/11,SEM1
HSP296,Year Abroad - Hispanic Studies Non-Erasmus Work Placement,4,School of Languages Linguistics and Film,2010/11,YEAR
HSP298,Year Abroad - Hispanic Studies Non-Erasmus Study Placement,0,School of Languages Linguistics and Film,2010/11,YEAR
POL359,"Resistance , Revolutionary Change and World Politics",23,School of Politics & International Relations,2010/11,SEM2
ELEM006,Multimedia Systems,31,School of Engineering & Computer Science,2010/11,SEM2
LAW6033A,Intellectual Property Law A,3,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
SBC240,Evolutionary Psychology,28,School of Biological and Chemical Sciences,2010/11,SEM2
SBC256,Applied Forensic Chemistry and Physics 2,13,School of Biological and Chemical Sciences,2010/11,YEAR
SBC260,Chemistry of Condensed Matter,0,School of Biological and Chemical Sciences,2010/11,SEM1
DIN4003,Human Sciences and Medical Ethics,12,Dental School / Institute of Dentistry,2010/11,YEAR
SBC314,"Aquatic Ecosystems: Science, Policy and Management",14,School of Biological and Chemical Sciences,2010/11,SEM2
SBC402,Biomedical Pharmacology,74,School of Biological and Chemical Sciences,2010/11,SEM1
SBC504,Techniques in Forensic Chemistry,19,School of Biological and Chemical Sciences,2010/11,SEM2
SBC510,Molecules from First Principles,75,School of Biological and Chemical Sciences,2010/11,SEM2
SBC607,Human Genetics and Genomics,143,School of Biological and Chemical Sciences,2010/11,SEM1
OLD74A1,"Part 4, Section Ai (99 curr): Examination - Specialities I",272,School of Medicine,2010/11,YEAR
OLD74A3,"Part 4, Section Aiii (99 curr): Continuous Assessment",272,School of Medicine,2010/11,YEAR
OLD75SS,"Part 5, MBBS: Student Selected Component Outcome (99 curr)",289,School of Medicine,2010/11,YEAR
OLG74A2,"GEP Part 4, Section Aii (99 curr): Continuous Assessment",44,School of Medicine,2010/11,YEAR
OLG74SA,GEP SSC 5a (99 curr),44,School of Medicine,2010/11,YEAR
OLG74SS,"GEP Part 5, GEP MBBS: Student Selected Component Outcome (99 curr)",44,School of Medicine,2010/11,YEAR
PFRM023,Early Modern Drama in Performance,0,School of English & Drama - Department of Drama,2010/11,SEM2
AMCM066,Interactive Digital Multimedia Techniques,11,School of Engineering & Computer Science,2010/11,SEM1
CAT200,Intermediate Catalan Language and Literature,0,School of Languages Linguistics and Film,2010/11,YEAR
MTRM021,Advanced Topics in Biomaterials,20,School of Engineering & Material Science,2010/11,SEM2
SBC711,Tropical Ecology and Conservation,20,School of Biological and Chemical Sciences,2010/11,SEM1
SBS008,Heredity and Gene Action,3,School of Biological and Chemical Sciences,2010/11,SEM1
SBS019,Cell Dynamics,2,School of Biological and Chemical Sciences,2010/11,SEM1
SBS022,"Biomedical Physiology I - Exchange, Movement and Integration",80,School of Biological and Chemical Sciences,2010/11,SEM2
SBS094,Human Biosciences Investigative Project,0,School of Biological and Chemical Sciences,2010/11,SEM1
SBS118,Cell Biology and Developmental Genetics,105,School of Biological and Chemical Sciences,2010/11,SEM1
SBS127,Applied Forensic Biology for Crime Scene Practitioners I,0,School of Biological and Chemical Sciences,2010/11,YEAR
SBS205,Parasites and Infectious Diseases,43,School of Biological and Chemical Sciences,2010/11,SEM2
SBS314,Marine and Freshwater Biology Project,7,School of Biological and Chemical Sciences,2010/11,YEAR
SBS625,Developmental Biology and Cell Signalling,60,School of Biological and Chemical Sciences,2010/11,SEM2
SBS640,Bioinformatics Project,1,School of Biological and Chemical Sciences,2010/11,YEAR
HSP233B,Spanish II,1,School of Languages Linguistics and Film,2010/11,SEM2
MTRM049,Advanced Topics in Dental Materials (Dental Materials III),15,School of Engineering & Material Science,2010/11,SEM2
MTRM059,"Nanotechnology Based Materials. Fabrication, Characterization and Application",10,School of Engineering & Material Science,2010/11,SEM2
MTRM064,Advanced Tissue Engineering and Regenerative Medicine,0,School of Engineering & Material Science,2010/11,SEM1
MTRM065,Advanced Structure-Property Relationships in Materials,0,School of Engineering & Material Science,2010/11,SEM1
SBS703,Cancer Biology,162,School of Biological and Chemical Sciences,2010/11,SEM2
SBS758,General Microbiology,7,School of Biological and Chemical Sciences,2010/11,SEM1
SBS803,Basic Immunology,190,School of Biological and Chemical Sciences,2010/11,SEM2
SBSM013,Specialist Organisms 2,0,School of Biological and Chemical Sciences,2010/11,SEM2
SBSM022,Statistics for the Biosciences,24,School of Biological and Chemical Sciences,2010/11,SEM1
SEF003,Introductory Chemistry,94,School of Biological and Chemical Sciences,2010/11,SEM1
SEF005,Physics (Mechanics and Materials),126,School of Biological and Chemical Sciences,2010/11,SEM1
SEF024,Introduction to Engineering,37,School of Biological and Chemical Sciences,2010/11,SEM1
SEF026,Essential Foundation Mathematical Skills,79,School of Biological and Chemical Sciences,2010/11,SEM1
SEF030,Communication in Science and Technology,111,School of Biological and Chemical Sciences,2010/11,SEM1
SEF032,Molecules to Cells,70,School of Biological and Chemical Sciences,2010/11,SEM2
SEJ007,Physics (Electricity and Atomic Physics),25,School of Biological and Chemical Sciences,2010/11,SEM3
LIN602,"Sex, Gender and Language",0,School of Languages Linguistics and Film,2010/11,SEM1
SMLM008,"History, Fiction, Memory in French Cinema",3,School of Languages Linguistics and Film,2010/11,SEM2
SMLM018,Paris on the Screen,0,School of Languages Linguistics and Film,2010/11,SEM1
RENM021,Public and Private Cultures in Renaissance England,5,School of English & Drama - Department of English,2010/11,SEM2
MAT100,Materials Science I (Properties of Matter),3,School of Engineering & Material Science,2010/11,SEM1
MAT102,Materials Selection and Mechanical Modelling,69,School of Engineering & Material Science,2010/11,SEM1
MAT105,Materials in Dentistry,23,School of Engineering & Material Science,2010/11,SEM2
MAT111,Design in Materials,0,School of Engineering & Material Science,2010/11,SEM1
MAT155,Clinical Applications of Biomaterials,37,School of Engineering & Material Science,2010/11,SEM1
MAT210,Surfaces and Interfaces in Materials,9,School of Engineering & Material Science,2010/11,SEM1
MAT211,Surfaces and Interfaces in Dental Materials,15,School of Engineering & Material Science,2010/11,SEM1
MAT212,Surfaces and Interfaces in Biomedical Materials,2,School of Engineering & Material Science,2010/11,SEM1
QLLM053,International Criminal Law,13,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
CHE111,"Atomic, Molecular and Ionic Structures",0,School of Biological and Chemical Sciences,2010/11,SEM1
CHE100,Essential Skills for Chemists,83,School of Biological and Chemical Sciences,2010/11,YEAR
CAN7002,Skills for Laparoscopic Hysterectomy,0,Barts Cancer Institute,2010/11,SEM1
COM101,Introduction to Literature: Texts and Contexts,79,School of Languages Linguistics and Film,2010/11,SEM1
CCDM090,"10,000 Word Dissertation",2,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
CCDM091,Research Seminar,0,School of Law / Centre for Commercial Law Studies,2010/11,YEAR
QLLM011B,Company Law B,0,School of Law / Centre for Commercial Law Studies,2010/11,SEM2
QLLM036A,Global Policy and Economics of Intellectual Property Law,6,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
MAT307,Innovation Strategy,2,School of Engineering & Material Science,2010/11,SEM1
MAT309,Materials Science 3: Materials Chemistry,0,School of Engineering & Material Science,2010/11,SEM1
MAT311,Tissue Engineering and Regenerative Medicine,52,School of Engineering & Material Science,2010/11,SEM1
PHY966,Electromagnetic Theory,11,School of Physics & Astronomy,2010/11,SEM1
MAT402,Operational and Financial Management,181,School of Engineering & Material Science,2010/11,SEM2
MAT420,MEng Individual Project,12,School of Engineering & Material Science,2010/11,YEAR
MAT501,Failure of Solids,67,School of Engineering & Material Science,2010/11,SEM1
MAT507,Environmental Properties of Materials,30,School of Engineering & Material Science,2010/11,SEM1
MAT706,Advanced Structure-Property Relationships in Materials,1,School of Engineering & Material Science,2010/11,SEM1
MAT803,"Nanotechnology Based Materials. Fabrication, Characterization and Application",13,School of Engineering & Material Science,2010/11,SEM2
MED41B1,"Part 1, Section Bi: Key Knowledge and its Application",244,School of Medicine,2010/11,YEAR
MED41C1,"Part 1, Section C: Examination in Data Interpretation, Including Image Recognition and Related Core Knowledge",243,School of Medicine,2010/11,YEAR
MED41E1,"Part 1, Section E: Annual Hurdle for Completion of Student Selected Components",242,School of Medicine,2010/11,YEAR
MED52B1,"Part 2, Section Bi: Key Knowledge and its Application",331,School of Medicine,2010/11,YEAR
HST5106,Latin for Medievalists II,7,School of History,2010/11,SEM1
HST5211A,English Society 1580-1720,0,School of History,2010/11,SEM1
HST5301,Anglo-American Relations 1945-70,61,School of History,2010/11,SEM1
HST5303,Art since 1965: from the Rejection of Modernism to Post Modernism,34,School of History,2010/11,SEM2
HST5306,Challenging Europe's Political and Social Order: the 1848 Revolution,26,School of History,2010/11,SEM1
HST5308,"Disraeli, Democracy and Empire",1,School of History,2010/11,SEM1
HST5310,Embattled Eden: Calfornia in the Twentieth Century,1,School of History,2010/11,SEM1
HST5313,History of Modern Political Thought,0,School of History,2010/11,SEM1
CCDM012,Trade Marks and Domain Names,3,School of Law / Centre for Commercial Law Studies,2010/11,SEM2
GEG7204,Project-Specific Research Training,1,School of Geography,2010/11,SEM1
DCS104,Object-Oriented Programming,104,School of Engineering & Computer Science,2010/11,SEM2
DCS113,Logic and Discrete Structures,163,School of Engineering & Computer Science,2010/11,SEM1
DCS210,Algorithms and Data Structures in an Object-Oriented Framework,102,School of Engineering & Computer Science,2010/11,SEM1
DCS234,Software Engineering Theory,0,School of Engineering & Computer Science,2010/11,SEM1
DCS250,Industrial Placement Project,8,School of Engineering & Computer Science,2010/11,YEAR
DCS400,MSci Computer Science Project,1,School of Engineering & Computer Science,2010/11,YEAR
DEN101,Mechanics of Fluids I,1,School of Engineering & Material Science,2010/11,SEM1
DEN107,Thermodynamics I,220,School of Engineering & Material Science,2010/11,SEM2
DEN118,Aspects of Aerospace Engineering,79,School of Engineering & Material Science,2010/11,YEAR
DEN121,Mathematics for Engineers 1,0,School of Engineering & Material Science,2010/11,SEM1
FLM303,Production Practice,13,School of Languages Linguistics and Film,2010/11,SEM1
BUS204,Strategy,16,School of Business & Management,2010/11,SEM1
WHR7021,Sports Injury Treatment,0,William Harvey Research Institute,2010/11,SEM1
WHR7023,Podiatry and Biomechanics,2,William Harvey Research Institute,2010/11,SEM1
WHR7027,Exercise as a Health Tool,0,William Harvey Research Institute,2010/11,SEM2
WHR7028,Sports Injury Assessment 2,0,William Harvey Research Institute,2010/11,SEM2
WHR7030,Dissertation,1,William Harvey Research Institute,2010/11,YEAR
LAW6001A,EU Justice and Home Affairs (A): Immigration and Asylum Law,9,School of Law / Centre for Commercial Law Studies,2010/11,SEM1
ESH256,Writing the First World War,34,School of English & Drama - Department of English,2010/11,SEM2
ESH253,Introduction to Old English,21,School of English & Drama - Department of English,2010/11,SEM2
ESH375,Writing Renaissance Lives,25,School of English & Drama - Department of English,2010/11,SEM1
ESH374,Shame and Shamelessness in Medieval Culture,18,School of English & Drama - Department of English,2010/11,SEM2
ESH351,Reading William Blake,16,School of English & Drama - Department of English,2010/11,SEM1
LLU005,Higher-Further German,0,School of Languages Linguistics and Film,2010/11,YEAR
LLU021,Beginners' Spanish,1,School of Languages Linguistics and Film,2010/11,YEAR
MTH4106,Introduction to Statistics,266,School of Mathematical Sciences,2010/11,SEM2
MTH5103,Complex Variables,187,School of Mathematical Sciences,2010/11,SEM2
MTH5106,Dynamics of Physical Systems,85,School of Mathematical Sciences,2010/11,SEM1
MTH5110,Introduction to Numerical Computing,77,School of Mathematical Sciences,2010/11,SEM2
MTH6109,Combinatorics,41,School of Mathematical Sciences,2010/11,SEM1
